rank	word	count
1274	zabavu	18996
1275	našem	18978
1276	prijatelje	18927
1277	prošli	18906
1278	spusti	18905
1279	budućnost	18879
1280	ručak	18865
1281	lakše	18823
1283	svemu	18800
1284	šansu	18791
1285	pričati	18764
1286	kurac	18751
1287	æe	18751
1288	knjige	18748
1289	ћу	18738
1290	pronašao	18727
1291	vjerujem	18714
1292	ostane	18651
1293	pitaš	18651
1294	informacije	18641
1295	žive	18608
1296	pokaži	18595
1297	otkud	18595
1298	znas	18562
1299	postaje	18540
1300	naših	18537
1301	сада	18496
1302	vjerojatno	18496
1303	ustvari	18485
1304	mamu	18482
1305	odvesti	18476
1306	она	18459
1307	morali	18455
1308	upoznali	18438
1309	izaći	18422
1310	pronašli	18418
1311	svojom	18391
1312	vratite	18381
1313	htjela	18350
1314	opusti	18316
1315	nalazi	18301
1316	njene	18255
1317	jack	18232
1318	primer	18230
1319	nikome	18221
1320	bebu	18219
1321	mrtvi	18218
1322	male	18199
1323	ostavila	18184
1324	obzira	18184
1325	pozvao	18176
1326	potrebe	18165
1327	psa	18165
1328	glava	18138
1329	bol	18127
1330	odjednom	18124
1331	stavio	18117
1332	većina	18107
1333	slažem	18102
1334	onim	18090
1335	pustiti	18090
1336	kul	18084
1337	malu	18055
1338	dogovor	18039
1339	vezu	18038
1340	nad	18033
1341	tražimo	18002
1342	pomalo	17973
1343	tvojih	17966
1344	мислим	17961
1345	ulici	17950
1346	tv	17927
1347	ostale	17920
1348	rata	17883
1349	stoji	17804
1350	kreni	17779
1351	hrane	17769
1352	pun	17764
1353	počela	17758
1354	večeri	17740
1355	bolnici	17726
1356	prati	17722
1357	čuti	17716
1358	desiti	17706
1359	agent	17682
1360	vidjela	17659
1361	prave	17659
1362	ludo	17656
1363	karte	17642
1364	umukni	17638
1365	duh	17614
1366	или	17610
1367	pitati	17604
1369	ostao	17598
1370	хвала	17590
1371	prosto	17538
1372	početak	17527
1373	gledati	17512
1374	de	17509
1375	sunce	17473
1376	živiš	17466
1377	vjerovati	17461
1378	ionako	17437
1379	sranja	17414
1381	ostatak	17391
1382	svaku	17379
1383	stvarima	17375
1384	svoja	17369
1385	postati	17359
1386	ostavite	17355
1387	из	17353
1388	knjiga	17351
1389	našoj	17346
1390	došlo	17340
1391	zadovoljstvo	17328
1392	naučio	17265
1394	poslije	17254
1395	napravila	17245
1396	треба	17244
1397	onako	17239
1398	umre	17214
1399	gluposti	17209
1400	čarli	17184
1401	korak	17144
1402	eno	17137
1403	izvinjavam	17129
1404	gleda	17120
1405	jest	17103
1406	slučajno	17078
1407	bićeš	17066
1408	srećno	17042
1409	pada	17024
1410	duboko	17017
1411	sobe	17004
1412	ej	17004
1413	ista	16991
1414	baci	16990
1415	igru	16981
1416	spava	16962
1417	odgovara	16961
1418	nogu	16958
1419	slobodan	16938
1420	hladno	16932
1421	dolje	16931
1422	doneo	16930
1423	pao	16928
1424	krevetu	16890
1425	išta	16876
1426	pitaj	16853
1427	prozor	16816
1428	dođem	16812
1429	vise	16812
1430	završiti	16793
1431	nedelja	16774
1432	poznaješ	16753
1433	до	16752
1434	kolima	16741
1435	njeno	16736
1436	ukrao	16735
1437	napisao	16735
1438	momka	16732
1439	skroz	16708
1440	šališ	16703
1441	ćerka	16700
1442	mlada	16698
1443	nikakve	16674
1444	nekih	16671
1445	gotov	16666
1446	odlučio	16656
1447	putem	16648
1448	uzmem	16646
1449	ženom	16613
1450	dođeš	16596
1451	izgubila	16590
1452	bolnicu	16581
1453	majko	16580
1454	prokleti	16570
1455	gospode	16533
1456	govore	16490
1457	lica	16483
1458	ženi	16409
1459	sjajan	16394
1460	vozi	16382
1461	ostanem	16382
1462	pažljivo	16372
1463	skloni	16372
1464	ко	16367
1465	dozvoliti	16327
1466	džo	16304
