lat	cyr	pos	ekav	gloss
brunejski				брунейский
brutalizam				брутализм
brzati				торопить
brzina				скорость
bršljan				плющ
buba				жук
bubašvaba				таракан
bubnjar				барабанщик
bubreg				почка
bubuljica				прыщ
bucov				жерех
buda				будда
budala				дурак, недоумок, тупица
budilnik				будильник
budimpešta				будапешт
budizam				буддизм
budući				будущий
budućnost				будущее
budžet				бюджет
budžetiranje				бюджетирование
bugarin				болгарин
bugarkinja				болгарка
bugarska				болгария
bugarski				болгарский
bukkrosing				буккроссинг
bukofarinks				ротоглотка
bukva				бук
bukvalnost				буквальность
buldog				бульдог
buling				буллинг
buljina				филин
bumbar				шмель
bunar				колодец
bunda				шуба
bundeva				тыква
burger				бургер
burlak				бурлак
burleska				бурлеск
burma				бирма
buržoazija				буржуазия
busan				пусан
butan				бутан
butelja				бутылка
buva				блоха
bučati				шуметь
buđ				плесень
bušido				бусидо
bvp				бмп
car				император, царь
caracas				каракас
careubica				цареубийца
carica				императрица
carigrad				царьгород, царьград
carina				таможня
carinik				таможенник
carinčenje				растаможивание
carić				крапивник
ceftriakson				цефтриаксон
celer				сельдерей
celibat				целибат
celijakija				целиакия
celuloid				целлулоид
celuloza				целлюлоза
cement				цемент
centar				центр, эпицентр
centimetar				сантиметр
centralizam				централизм
centrifugalan				центробежный
cenzor				цензор
cepin				ледоруб
ceremonijalan				церемониальный
cerijum				церий
cev				ствол
cezijum				цезий
cezura				цезура
chaconne				чакона
cifra				цифра
cigla				кирпич
cijanid				цианид
cijanogen				циан
cijena				стоимость, цена
cikcak				зигзаг
ciklama				цикламен
cikloida				циклоида
ciklon				циклон
ciklopentan				циклопентан
ciklotron				циклотрон
cilindričan				цилиндрический
cilj				цель
cimet				корица
cink				цинк
cinkografija				цинкография
cinober				киноварь
cirada				брезент
cirih				цюрих
cirkadijalan				циркадный
cirkonijum				цирконий
cirkulacija				обращение, циркуляция
cirkulirati				циркулировать
cirkulisati				обращаться
cirkus				цирк
ciroza				цирроз
cisoida				циссоида
cistein				цистеин
citara				кифара
citat				цитата
citologija				цитология
citrulin				цитруллин
civilizacija				цивилизация
civilizirati				цивилизовать
cjelobrojan				целочисленный
cjevovod				трубопровод
crijevo				кишка
crkva				церковь
crn				чёрный
crnac				негр
crnica				чернозём
crnkinja				негритянка
crnogorac				черногорец
crnook				черноглазый
crtanje				рисование
crtež				чертёж
crv				червь
crven				красный
crvenogardejac				хунвэйбин
crvenrepka				горихвостка
cunami				цунами
cvast				соцветие
cvijet				цветок
cvrkut				щебетание
cvrkutanje				щебетание
cvrkutati				щебетать
da				да, чтобы
dabar				бобр, бобёр
dadaizam				дадаизм
dagerotipija				дагерротипия
dagestan				дагестан
dajk				дайка
daka				дакка
daktil				дактиль
dalekogled				бинокль
dalekovid				дальнозоркий
dalekovidan				дальнозоркий
dalekovidnost				дальнозоркость
dalekovidost				дальнозоркость
daljina				расстояние
daltonist				дальтоник
daltonizam				дальтонизм
damask				дамаск
dan				день
danac				датчанин
danas				сегодня
današnji				сегодняшний
danju				днём
dankinja				датчанка
danska				дания
dar				дар, подарок
darije				дарий
darivalac				даритель
darma				дхарма
darovalac				даритель
darvinist				дарвинист
darvinizam				дарвинизм
datirati				датировать
datum				дата
davati				давать
davos				давос
dažbina				налог
debeljko				жирдяй, толстяк
debi				дебют
decembar				декабрь
decembarski				декабрьский
decilitar				децилитр
deda				дедушка
dedal				дедал
dedica				дедушка
dedukcija				дедукция
defekacija				дефекация
defektologija				дефектология
defenestracija				дефенестрация
defetizam				дефетизм
defibrilacija				дефибрилляция
deficit				дефицит
deflacija				дефляция
deflacioni				дефляционный
deflator				дефлятор
defolt				дефолт
deformacija				деформация
deformitet				уродство
degustirati				дегустировать
deindustrijalizacija				деиндустриализация
deizam				деизм
deka				дедушка
dekaedar				десятигранник
dekartelizacija				декартелизация
dekatlon				декатлон, десятиборье
dekica				дедушка
deklamacija				декламация
deklamovati				декламировать
deklaracija				декларация
deklarisati				декларировать
deklinometar				деклинометр
dekodirati				декодировать
dekoherencija				декогеренция
dekolonizacija				деколонизация
dekolonizovati				деколонизировать
dekriminalizovati				декриминализировать
dekstrin				декстрин
dekstroza				декстроза
dekupaž				декупаж
delaver				делавэр
delfin				дельфин
delfinarijum				дельфинарий
delfski				дельфийский
delhijski				делийский
deliktologija				деликтология
delimitacija				делимитация
delirijum				делирий
demagogija				демагогия
demencija				деменция, слабоумие
demilitarizacija				демилитаризация
deminutiv				диминутив
demobilisati				демобилизовать
demodulacija				демодуляция
demodulator				демодулятор
demograf				демограф
demografija				демография
demokratija				демократия
demon				демон
demonetizacija				демонетизация
demonologija				демонология
demonopolizacija				демонополизация
demonstracija				манифестация
demonstrirati				демонстрировать
demoralisati				деморализовать
demoralizacija				деморализация
demotski				демотический
denacifikacija				денацификация
denacionalizacija				денационализация
denaturacija				денатурация
denaturalizacija				денатурализация
dendrologija				дендрология
denominacija				деноминация
denominirati				деноминировать
dentin				дентин
denzitometar				денситометр
deo				часть
deontologija				деонтология
depersonalizacija				деперсонализация
depigmentacija				депигментация
depopulacija				депопуляция
deportacija				депортация
deportirati				депортировать
deprivatizacija				деприватизация
deputat				депутат
der				а
derbi				дерби
derealizacija				дереализация
desegregacija				десегрегация
deset				десять
deseti				десятый
desetoboj				декатлон, десятиборье
desetougao				десятиугольник
desmolitički				десмолитический
desni				правый
desocijalizacija				десоциализация
desovjetizacija				десоветизация
despotizam				деспотизм
despotovac				деспотовац
destabilizirati				дестабилизировать
destaljinizacija				десталинизация
destigmatizacija				дестигматизация
destruktivan				разрушительный
detaljan				всесторонний, детальный
detence				младенец
determinanta				детерминант
determinizam				детерминизм
detoksifikacija				детоксикация
detoksikacija				детоксикация
detroit				детройт
deva				дева
devalvacija				девальвация
devalvirati				девальвировать
devedeset				девяносто
dever				деверь
devet				девять
deveti				девятый
devetnaest				девятнадцать
devetnaesti				девятнадцатый
devetnaestougao				девятнадцатиугольник
devetogodišnji				девятилетний
devetougao				девятиугольник
devetsto				девятьсот
deviantologija				девиантология
devijantologija				девиантология
devize				валюта
devizni				валютный
dezerter				дезертир
dezertirati				дезертировать
dezinfikovati				дезинфицировать
dezinformacija				дезинформация
dezintegracija				дезинтеграция
dezorganizovanost				дезорганизованность
dečak				мальчик
diarhija				диархия
diego				диего
difenilamin				дифениламин
diferencijacija				дифференциация
diferencijalni				дифференциальный
difterija				дифтерия
difuzija				диффузия
digitalizacija				дигитализация, оцифровка
digitalizovanje				дигитализация, оцифровка
dijabetes				диабет
dijadema				корона
dijagnostika				диагностика
dijagnostičan				диагностический
dijagnostički				диагностический
dijagnoza				диагноз
dijagonala				диагональ
dijagonalan				диагональный
dijalekt				диалект
dijalektika				диалектика
dijalektologija				диалектология
dijaliza				диализ
dijalog				диалог
dijamant				алмаз
dijapazon				камертон
