order	lemma	pos	spoken	web	forms	sentences	gloss
989	udica	NOUN	456	2082	15	0	рыболовный крючок
990	grb	NOUN	449	5902	16	0	анат. спина
991	stolac	NOUN	446	100	14	0	стул
992	logičan	ADJ	445	13478	191	0	логический
993	amaterski	ADV	440	5067	184	0	любительский
994	jaz	NOUN	440	3981	16	0	пропасть
995	lem	NOUN	433	279	16	0	техн. припой
996	poboljšavati	VERB	431	8295	102	1	улучшать
997	babica	NOUN	422	1326	15	0	акушерка
998	jarbol	NOUN	422	763	15	0	мачта; флагшток
999	tvor	NOUN	419	302	15	0	зоол. хорёк
1000	strateški	ADJ	416	34248	184	0	стратегический
1001	ljigavac	NOUN	416	203	14	0	ихтиол. угорь; перен. скользкий тип, ловкач, изворотливый человек
1002	zubić	NOUN	414	1213	15	0	?
1003	sakupljanje	NOUN	410	4818	15	0	сбор, собирание; коллекционирование
1004	bilion	NOUN	410	2077	15	0	триллион
1005	lignja	NOUN	406	560	17	0	зоол. кальмар
1006	mlečan	ADJ	405	10219	382	0	молочный
1007	beleg	NOUN	402	772	42	0	знак, отметина
1008	škare	NOUN	398	43	7	0	ножницы
1009	upitnik	NOUN	396	5177	15	0	знак вопроса, вопросительный знак
1010	ljaga	NOUN	395	734	17	0	позор, позорное пятно
1011	zavod	NOUN	393	36087	15	0	заведение, учреждение; центр (научный и т. п.); институт
1012	obdanište	NOUN	393	3946	15	0	ясли-сад
1013	osamdeseti	ADJ	391	9352	125	0	восьмидесятый
1014	svemoćan	ADJ	389	1636	73	0	всемогущий; всесильный, всемощный
1015	gavran	NOUN	387	792	15	0	ворон
1016	pljusak	NOUN	381	1928	22	1	ливень, проливной дождь
1017	kim	NOUN	381	15798	16	3	тмин
1018	žbun	NOUN	378	1125	16	0	куст
1019	trepavica	NOUN	378	2427	15	0	ресница
1020	besprekorno	ADV	378	2563	2	0	безукоризненно, безупречно
1021	badnjak	NOUN	377	1808	15	0	?
1022	novorođenče	NOUN	374	2756	14	0	новорождённый
1023	ukidanje	NOUN	374	16702	15	0	отмена
1024	akademski	ADJ	368	21596	184	0	академический
1025	jajašce	NOUN	367	496	17	0	анат. яйцеклетка
1026	mećava	NOUN	367	948	15	0	метель, пурга, вьюга
1027	arogancija	NOUN	367	1539	15	0	нахальство, наглость, высокомерие, надменность
1028	komercijalan	ADJ	364	21421	191	0	коммерческий
1029	cvrčak	NOUN	363	726	14	0	цикада
1030	oduzimanje	NOUN	363	6521	15	0	матем. вычитание
1031	mekušac	NOUN	360	309	14	0	зоол. моллюск
1032	opatica	NOUN	360	111	14	0	церк. аббатиса; настоятельница
1033	grm	NOUN	355	1137	16	0	куст
1034	krafna	NOUN	354	21	16	0	пончик, пышка, пампушка
1035	nadbiskup	NOUN	353	1767	15	0	архиепископ
1036	retorički	ADJ	352	1240	62	0	риторический
1037	kukavičluk	NOUN	351	969	15	0	трусость, трусливость, малодушие
1038	adut	NOUN	344	4725	15	0	козырь
1039	veleposlanik	NOUN	343	164	15	0	посол
1040	primena	NOUN	343	83041	30	0	применение, использование
1041	rekreacija	NOUN	340	5316	15	0	отдых
1042	bife	NOUN	340	723	15	0	буфет
1043	pepeljara	NOUN	336	569	15	0	пепельница
1044	ljubičica	NOUN	336	632	15	0	ботан. фиалка
1045	pilence	NOUN	334	55	17	0	цыплёнок
1046	arogantno	ADV	329	387	3	0	высокомерно, заносчиво, надменно
1047	mašna	NOUN	328	827	16	0	бант
1048	šapat	NOUN	327	1114	29	1	шёпот
1049	posvećivati	VERB	326	7299	102	0	посвящать
1050	šara	NOUN	325	2735	15	0	рисунок; узор, украшение, орнамент
1051	hemičar	NOUN	323	1221	17	0	химик
1052	nezaposlenost	NOUN	323	18113	15	0	безработица
1053	preduzetnik	NOUN	323	18922	15	0	предприниматель
1054	moljac	NOUN	322	702	14	0	моль
1055	šija	NOUN	320	660	15	0	анат. шея
1056	odjek	NOUN	319	3329	15	0	эхо
1057	jazavac	NOUN	317	576	14	0	барсук
1058	pegla	NOUN	317	1380	16	0	утюг
1059	poljoprivreda	NOUN	315	56802	15	0	сельское хозяйство
1060	halucinirati	VERB	314	141	109	0	галлюцинировать
1061	napomenuti	VERB	313	23208	102	0	указать; напомнить
1062	pega	NOUN	311	1569	30	0	веснушка
1063	tvrdoglavost	NOUN	309	816	15	0	упрямство, упёртость
1064	sirće	NOUN	307	2503	22	0	уксус
1065	raspeće	NOUN	307	1144	15	0	распятие
1066	izjednačiti	ADJ	307	10403	102	0	приравнять, сравнить, уподобить
1067	trska	NOUN	304	1816	16	0	ботан. тростник (Phragmites)
1068	preobražaj	NOUN	304	2462	15	0	превращение, преображение (часто внешнее, в лучшую сторону); перемена, изменение (к лучшему)
1069	presađivanje	NOUN	302	931	15	0	пересадка (посадка на другое место)
1070	promaja	NOUN	300	1497	15	0	сквозняк
